Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
Under 18,Male,Elementary school,Above 10yr,Public (13?45 seats),Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Above high school,2-5yr,Lorry (11?40Q),Below 1yr,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,1,1,Going straight,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Overloading,Slight Injury
18-30,Male,Junior high school,1-2yr,,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,5,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Elementary school,1-2yr,Stationwagen,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Turnover,Slight Injury
18-30,Male,Junior high school,,Ridden horse,,,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Above 10yr,Public (13?45 seats),,,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,1-2yr,Public (12 seats),,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,3,3,Going straight,Pedestrian,Female,5,3,Driver,Normal,Not a Pedestrian,Turnover,Slight Injury
Unknown,Male,Junior high school,2-5yr,Lorry (11?40Q),,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
Under 18,Male,Junior high school,1-2yr,Automobile,,No defect,,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
18-30,Male,Junior high school,Below 1yr,Automobile,1-2yr,No defect,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Overspeed,Slight Injury
18-30,Male,Elementary school,Above 10yr,Stationwagen,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
18-30,Male,,,Lorry (11?40Q),,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Unknown,Female,Junior high school,Above 10yr,Lorry (41?100Q),,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Other,,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,Junior high school,5-10yr,Automobile,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,High school,Above 10yr,,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,5,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Elementary school,Below 1yr,Lorry (41?100Q),5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,1-2yr,Automobile,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,5-10yr,Public (> 45 seats),Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,1,Going straight,na,na,na,na,Other,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,Junior high school,Above 10yr,Turbo,,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Unknown,,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,2-5yr,Automobile,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
31-50,Male,High school,2-5yr,Automobile,Above 10yr,, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,5-10yr,Automobile,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Below 1yr,Automobile,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
Over 51,Male,Junior high school,2-5yr,Automobile,Unknown,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Above 10yr,Other,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,,,Lorry (11?40Q),Above 10yr,,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,2-5yr,Pick up upto 10Q,2-5yrs,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Junior high school,1-2yr,Motorcycle,,,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,High school,Below 1yr,Automobile,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,Above 10yr,Lorry (41?100Q),1-2yr,, Church areas,,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
Unknown,Male,Junior high school,1-2yr,Public (12 seats),,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Other,Rollover,2,3,Going straight,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,Elementary school,,Public (> 45 seats),Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,,Asphalt roads,Dry,Darkness - lights lit,Unknown,Rollover,1,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Serious Injury
18-30,Male,Junior high school,Above 10yr,Automobile,,No defect,School areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Improper parking,Slight Injury
Unknown,Male,Junior high school,Above 10yr,,2-5yrs,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Cloudy,Collision with roadside objects,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,5-10yr,Taxi,1-2yr,No defect,  Recreational areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
31-50,Male,Junior high school,5-10yr,,Below 1yr,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,31-50,3,Other,Normal,Not a Pedestrian,Other,Slight Injury
18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Windy,Collision with pedestrians,2,1,Going straight,Passenger,Female,31-50,3,Other,Normal,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Above 10yr,Automobile,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,High school,Below 1yr,Lorry (41?100Q),,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,3,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Below 1yr,Motorcycle,Below 1yr,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Moving Backward,na,na,na,na,,,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,High school,No Licence,Pick up upto 10Q,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,1,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,5-10yr,Other,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,,na,na,na,na,,,Not a Pedestrian,Driving at high speed,Slight Injury
18-30,Male,Junior high school,2-5yr,Automobile,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Male,31-50,3,,Normal,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,5-10yr,Other,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with pedestrians,2,1,Moving Backward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Unknown,Female,Junior high school,2-5yr,Long lorry,,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Reversing,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,1-2yr,Public (> 45 seats),Above 10yr,, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Overtaking,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Over 51,Male,Junior high school,1-2yr,Pick up upto 10Q,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,2,Other,Passenger,Female,Under 18,3,,,Not a Pedestrian,Other,Slight Injury
18-30,Male,Junior high school,Below 1yr,Automobile,,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Reversing,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Serious Injury
31-50,Male,Junior high school,5-10yr,Other,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,2,2,,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Unknown,Male,Elementary school,2-5yr,Automobile,2-5yrs,,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Other,Pedestrian,Male,Over 51,3,,,Not a Pedestrian,Other,Slight Injury
